"full_name","epoch","e","a","i","om","w","ma","per"
"   21P/Giacobini-Zinner",2458070.5,0.7105,3.5,32.00,195.40,172.81,314.66,2.39e+03
"   22P/Kopff",2458545.5,0.5486,3.444,4.74,120.84,162.91,188.72,2.33e+03
"   23P/Brorsen-Metcalf",2447800.5,0.9720,17.07,19.33,311.59,129.61,0.27,2.58e+04
"   24P/Schaumasse",2460321.5,0.7079,4.056,11.50,78.29,58.48,272.20,2.98e+03
"   25D/Neujmin 2",2424960.5,0.5668,3.089,10.64,328.72,193.70,11.58,1.98e+03
"   26P/Grigg-Skjellerup",2456017.5,0.6397,3.024,22.46,211.63,1.90,273.42,1.92e+03
"   27P/Crommelin",2452489.5,0.9193,9.093,29.22,250.96,195.96,241.87,1e+04
"   28P/Neujmin 1",2458727.5,0.7735,6.965,14.31,346.35,347.44,330.08,6.71e+03
"   29P/Schwassmann-Wachmann 1",2459866.5,0.0448,6.046,9.36,312.39,50.66,84.64,5.43e+03
"   30P/Reinmuth 1",2457497.5,0.5023,3.771,8.13,119.72,13.25,294.44,2.67e+03
"   31P/Schwassmann-Wachmann 2",2455608.5,0.1930,4.243,4.55,114.19,17.93,15.73,3.19e+03
"   32P/Comas Sola",2458833.5,0.5567,4.499,9.94,57.66,53.30,194.89,3.49e+03
"   33P/Daniel",2457411.5,0.4632,4.024,22.39,66.49,19.06,334.19,2.95e+03
"   34D/Gale",2429080.5,0.7607,4.944,11.73,67.92,209.16,1.12,4.02e+03
"   35P/Herschel-Rigollet",2429480.5,0.9740,28.84,64.21,355.98,29.30,359.97,5.66e+04
